source,dataset,mechanism,severity,seed,status,validation_passed,achieved_rate,excluded_columns
cleanml,EEG,mar,0.25,1,PARTIAL_SUCCESS,True,{'F7': 0.2460511679644049},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=-0.0026, pval=0.8642"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=-0.0104, pval=0.4874"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=0.0077, pval=0.6059"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=0.0125, pval=0.4033""}"
cleanml,EEG,mar,0.25,2,PARTIAL_SUCCESS,True,{'F7': 0.2545050055617353},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=-0.0012, pval=0.9358"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=-0.0066, pval=0.6597"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=-0.0022, pval=0.8853"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=0.0136, pval=0.3632""}"
cleanml,EEG,mar,0.25,3,PARTIAL_SUCCESS,True,{'F7': 0.2527252502780868},"{'AF3': ""mechanism-fidelity check failed against conditioning feature 'P8': corr=0.0133, pval=0.3728"", 'F3': ""mechanism-fidelity check failed against conditioning feature 'AF4': corr=0.0034, pval=0.8196"", 'FC5': ""mechanism-fidelity check failed against conditioning feature 'O1': corr=0.0009, pval=0.9511"", 'T7': ""mechanism-fidelity check failed against conditioning feature 'FC5': corr=0.0223, pval=0.1351""}"
cleanml,EEG,mnar,0.05,1,PARTIAL_SUCCESS,True,"{'F7': 0.04961067853170189, 'F3': 0.0507230255839822, 'T7': 0.048943270300333706}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0144, pval=0.3340', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0195, pval=0.1906'}"
cleanml,EEG,mnar,0.05,2,PARTIAL_SUCCESS,True,"{'F7': 0.05005561735261402, 'F3': 0.05027808676307008, 'T7': 0.04916573971078977}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0055, pval=0.7100', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0011, pval=0.9426'}"
cleanml,EEG,mnar,0.05,3,PARTIAL_SUCCESS,True,"{'F7': 0.05539488320355951, 'F3': 0.04872080088987764, 'T7': 0.047385984427141266}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0060, pval=0.6888', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0133, pval=0.3732'}"
cleanml,EEG,mnar,0.1,1,PARTIAL_SUCCESS,True,"{'F7': 0.10055617352614016, 'F3': 0.10411568409343715, 'T7': 0.09833147942157953}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0228, pval=0.1263', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0228, pval=0.1267'}"
cleanml,EEG,mnar,0.1,2,PARTIAL_SUCCESS,True,"{'F7': 0.10278086763070078, 'F3': 0.10077864293659622, 'T7': 0.09699666295884316}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0062, pval=0.6786', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0081, pval=0.5882'}"
cleanml,EEG,mnar,0.1,3,PARTIAL_SUCCESS,True,"{'F7': 0.10989988876529477, 'F3': 0.09810901001112347, 'T7': 0.09877641824249166}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0123, pval=0.4113', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0011, pval=0.9433'}"
cleanml,EEG,mnar,0.15,1,PARTIAL_SUCCESS,True,"{'F7': 0.15038932146829811, 'F3': 0.15261401557285872, 'T7': 0.14549499443826475}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0258, pval=0.0833', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0125, pval=0.4032'}"
cleanml,EEG,mnar,0.15,2,PARTIAL_SUCCESS,True,"{'F7': 0.15417130144605118, 'F3': 0.15016685205784205, 'T7': 0.15194660734149054}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0109, pval=0.4633', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0092, pval=0.5382'}"
cleanml,EEG,mnar,0.15,3,PARTIAL_SUCCESS,True,"{'F7': 0.1599555061179088, 'F3': 0.14616240266963293, 'T7': 0.14727474972191323}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0083, pval=0.5802', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0009, pval=0.9502'}"
cleanml,EEG,mnar,0.2,1,PARTIAL_SUCCESS,True,"{'F7': 0.19688542825361513, 'F3': 0.20311457174638486, 'T7': 0.19577308120133483}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0147, pval=0.3252', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0018, pval=0.9042'}"
cleanml,EEG,mnar,0.2,2,PARTIAL_SUCCESS,True,"{'AF3': 0.20556173526140156, 'F7': 0.207119021134594, 'F3': 0.20200222469410456, 'T7': 0.1971078976640712}","{'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0024, pval=0.8718'}"
cleanml,EEG,mnar,0.2,3,PARTIAL_SUCCESS,True,"{'F7': 0.20912124582869857, 'F3': 0.2006674082313682, 'T7': 0.1939933259176863}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0139, pval=0.3500', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0014, pval=0.9229'}"
cleanml,EEG,mnar,0.25,1,PARTIAL_SUCCESS,True,"{'F7': 0.24271412680756396, 'F3': 0.2518353726362625, 'T7': 0.24493882091212457}","{'AF3': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0048, pval=0.7477', 'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0010, pval=0.9449'}"
cleanml,EEG,mnar,0.25,2,PARTIAL_SUCCESS,True,"{'AF3': 0.2585094549499444, 'F7': 0.2538375973303671, 'F3': 0.250055617352614, 'T7': 0.24916573971078976}","{'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=0.0099, pval=0.5056'}"
cleanml,EEG,mnar,0.25,3,PARTIAL_SUCCESS,True,"{'AF3': 0.2600667408231368, 'F7': 0.25806451612903225, 'F3': 0.25205784204671855, 'T7': 0.2400444938820912}","{'FC5': 'mechanism-fidelity check failed against own pre-corruption value: corr=-0.0056, pval=0.7094'}"
folktables,ACSIncome,mcar,0.05,1,OK,True,"{'AGEP': 0.050463302446503565, 'COW': 0.05112992467168855, 'SCHL': 0.04959669355376308, 'MAR': 0.05112992467168855, 'OCCP': 0.049330044663689086}",
